# Chunk-averaged data for fix profile and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
5000 40 5000
  28 42.3856 124.069 0.989437
  29 43.5393 125.167 0.988024
  30 44.693 123.479 1.03287
  31 45.8466 123.079 1.03107
  32 47.0003 123.76 0.993726
  33 48.1539 123.866 0.967677
  34 49.3076 124.47 0.960998
  35 50.4612 123.214 0.973948
  36 51.6149 124.254 1.00515
  37 52.7686 123.585 1.02083
  38 53.9222 121.161 1.04129
  39 55.0759 119.592 1.01758
  40 56.2295 124.2 0.999316
65000 40 5000
  1 11.2368 124.203 1.00452
  2 12.3905 124.983 1.01517
  3 13.5442 123.464 1.01728
  4 14.6978 123.783 1.01555
  5 15.8515 123.602 1.00189
  6 17.0051 128.673 0.953748
  7 18.1588 125.546 0.946219
  8 19.3125 126.41 0.944532
  9 20.4661 125.228 0.947411
  10 21.6198 125.848 0.957253
  11 22.7734 124.851 0.961044
  12 23.9271 127.185 0.96882
  13 25.0807 125.818 0.962193
  14 26.2344 126.845 0.94194
  15 27.3881 126.13 0.936022
  16 28.5417 126.595 0.9629
  17 29.6954 123.542 0.983104
  18 30.849 127.933 0.955338
  19 32.0027 127.447 0.933713
  20 33.1564 126.515 0.911534
  21 34.31 122.825 0.97859
  22 35.4637 124.31 0.987725
  23 36.6173 126.027 0.960813
  24 37.771 125.683 0.933166
  25 38.9247 124.803 0.933487
  26 40.0783 124.676 0.941145
  27 41.232 127.819 0.938553
  28 42.3856 126.086 0.97424
  29 43.5393 122.546 1.00453
  30 44.693 123.265 0.994065
  31 45.8466 126.118 1.0048
  32 47.0003 123.001 1.01457
  33 48.1539 122.951 1.02856
  34 49.3076 123.043 1.03284
  35 50.4612 124.459 1.01345
  36 51.6149 125.335 0.99471
  37 52.7686 122.112 1.01859
  38 53.9222 124.656 1.00513
  39 55.0759 124.883 1.00737
  40 56.2295 120.799 1.00912
70000 40 5000
  1 11.2368 122.95 1.01246
  2 12.3905 122.089 0.988348
  3 13.5442 125.176 1.00076
  4 14.6978 123.311 1.00801
  5 15.8515 122.777 0.977603
  6 17.0051 126.498 0.923208
  7 18.1588 124.65 0.973414
  8 19.3125 124.736 0.97921
  9 20.4661 125.323 0.975868
  10 21.6198 124.126 0.987641
  11 22.7734 126.999 0.99083
  12 23.9271 124.183 0.982572
  13 25.0807 127.083 0.93317
  14 26.2344 125.239 0.951673
  15 27.3881 127.357 0.946284
  16 28.5417 128 0.966657
  17 29.6954 123.351 0.974241
  18 30.849 124.648 0.946277
  19 32.0027 128.444 0.938719
  20 33.1564 127.134 0.950603
  21 34.31 127.33 0.94429
  22 35.4637 123.748 0.989017
  23 36.6173 125.118 0.995285
  24 37.771 124.428 1.0006
  25 38.9247 126.571 0.9855
  26 40.0783 123.699 0.997141
  27 41.232 126.427 0.967676
  28 42.3856 126.681 0.977771
  29 43.5393 124.185 0.992392
  30 44.693 126.556 0.973672
  31 45.8466 127.241 1.0232
  32 47.0003 121.162 1.01346
  33 48.1539 125.545 1.02939
  34 49.3076 123.703 1.02397
  35 50.4612 124.157 1.01546
  36 51.6149 123.918 1.01558
  37 52.7686 124.501 1.0171
  38 53.9222 124.466 0.985794
  39 55.0759 123.097 1.00282
  40 56.2295 123.393 1.01076
75000 40 5000
  1 11.2368 122.287 1.01912
  2 12.3905 122.637 1.02469
  3 13.5442 123.325 1.04663
  4 14.6978 122.143 1.06184
  5 15.8515 124.894 1.02143
  6 17.0051 124.913 1.0126
  7 18.1588 127.364 1.00161
  8 19.3125 126.407 0.980075
  9 20.4661 126.306 0.95761
  10 21.6198 124.932 0.986567
  11 22.7734 126.796 0.965411
  12 23.9271 125.239 0.978667
  13 25.0807 127.027 0.966635
  14 26.2344 127.236 0.969566
  15 27.3881 127.543 0.943253
  16 28.5417 125.324 0.96372
  17 29.6954 124.292 0.962641
  18 30.849 126.89 0.944929
  19 32.0027 125.153 0.950106
  20 33.1564 125.387 0.954806
  21 34.31 126.855 0.969097
  22 35.4637 125.68 0.949808
  23 36.6173 124.865 0.997624
  24 37.771 123.81 1.0088
  25 38.9247 125.379 0.994504
  26 40.0783 125.338 0.972053
  27 41.232 122.539 0.992165
  28 42.3856 126.461 0.989828
  29 43.5393 124.788 0.981846
  30 44.693 124.114 0.966225
  31 45.8466 124.804 0.991403
  32 47.0003 123.44 1.01156
  33 48.1539 121.983 1.00304
  34 49.3076 124.701 0.996854
  35 50.4612 125.789 1.02262
  36 51.6149 124.488 0.979155
  37 52.7686 125.412 0.965934
  38 53.9222 125.75 0.969128
  39 55.0759 124.832 0.981098
  40 56.2295 122.877 1.02341
80000 40 5000
  1 11.2368 124.383 1.00151
  2 12.3905 122.717 1.02063
  3 13.5442 127.825 0.976677
  4 14.6978 126.317 0.950274
  5 15.8515 121.387 0.986693
  6 17.0051 125.295 0.963408
  7 18.1588 125.844 0.948776
  8 19.3125 125.066 0.9526
  9 20.4661 126.268 0.923745
  10 21.6198 126.69 0.948217
  11 22.7734 125.577 0.96491
  12 23.9271 122.822 0.94849
  13 25.0807 124.546 0.95499
  14 26.2344 125.513 0.955903
  15 27.3881 124.008 0.948641
  16 28.5417 124.047 0.978248
  17 29.6954 122.412 0.962043
  18 30.849 125.88 0.951919
  19 32.0027 124.103 0.96102
