# Time-averaged data for fix thermo_ave
# TimeStep v_T v_p v_rho v_Etot v_Ekin v_Epot v_pyz v_eta
290000 372.942 936.615 0.76028 956.627 964.082 -7.4552 -55.561 0.00055561
291000 373.532 1034.9 0.76028 967.189 965.607 1.58263 -63.3155 0.000633155
292000 372.932 1074.1 0.76028 960.186 964.056 -3.86938 -18.4803 0.000184803
293000 373.13 1060.77 0.76028 959.859 964.568 -4.70832 -35.6895 0.000356895
294000 372.989 1057.25 0.76028 952.745 964.203 -11.4579 -25.2086 0.000252086
295000 373.386 1070.56 0.76028 956.86 965.23 -8.36974 -72.8792 0.000728792
296000 373.328 1063.18 0.76028 956.438 965.079 -8.64174 -38.7141 0.000387141
297000 372.775 1040.9 0.76028 957.729 963.652 -5.92226 -69.3059 0.000693059
298000 372.981 1039.96 0.76028 955.63 964.184 -8.55376 -55.3225 0.000553225
299000 373.609 1073.77 0.76028 962.839 965.807 -2.96848 -36.9546 0.000369546
300000 373.159 994.315 0.76028 955.667 964.645 -8.97748 -65.9739 0.000659739
301000 372.925 1022.83 0.76028 956.799 964.039 -7.23967 -21.3338 0.000213338
302000 373.178 1045.74 0.76028 957.335 964.691 -7.35655 -65.0244 0.000650244
303000 373.077 1007.49 0.76028 955.523 964.432 -8.90897 -22.925 0.00022925
304000 373.342 1035.91 0.76028 959.794 965.117 -5.32328 -50.0916 0.000500916
305000 373.11 1041.19 0.76028 961.992 964.516 -2.52458 -74.4539 0.000744539
306000 372.972 1028.16 0.76028 959.719 964.16 -4.44071 -57.6345 0.000576345
307000 373.365 972.876 0.76028 960.333 965.175 -4.84232 -68.0065 0.000680065
308000 372.99 974.048 0.76028 956.731 964.207 -7.47589 -69.102 0.00069102
309000 373.369 995.558 0.76028 957.446 965.186 -7.74045 -75.4771 0.000754771
310000 372.963 1037.76 0.76028 956.42 964.136 -7.7164 -45.6589 0.000456589
311000 373.224 1030.21 0.76028 961.284 964.812 -3.52838 -88.6115 0.000886115
312000 373.238 1025.78 0.76028 959.562 964.849 -5.28707 -79.1778 0.000791778
313000 372.905 1023.39 0.76028 959.211 963.986 -4.77493 -58.6041 0.000586041
314000 373.341 1038.54 0.76028 958.15 965.113 -6.96253 -41.2987 0.000412987
315000 373.064 1030.13 0.76028 959.966 964.397 -4.43071 -74.0711 0.000740711
316000 373.266 1011.35 0.76028 957.005 964.921 -7.91536 -71.7171 0.000717171
317000 373.199 1031.63 0.76028 957.287 964.746 -7.45893 -30.5759 0.000305759
318000 373.024 989.11 0.76028 956.553 964.293 -7.74004 -55.4607 0.000554607
319000 373.131 918.158 0.76028 955.5 964.57 -9.07008 -83.5273 0.000835273
320000 373.023 961.065 0.76028 954.318 964.293 -9.9742 -80.0129 0.000800129
321000 373.192 981.563 0.76028 956.692 964.728 -8.03629 -62.2286 0.000622286
322000 373.287 981.422 0.76028 957.018 964.975 -7.95684 -31.9289 0.000319289
323000 373.268 985.532 0.76028 956.931 964.926 -7.99568 -48.3829 0.000483829
