# Time-averaged data for fix thermo_ave
# TimeStep v_T v_p v_rho v_Etot v_Ekin v_Epot v_pyz v_eta
261000 372.914 70.0751 0.67534 1064.02 964.009 100.007 -54.248 0.00054248
262000 372.968 25.4592 0.67534 1065.57 964.149 101.422 -38.8376 0.000388376
263000 373.101 4.96557 0.67534 1065.28 964.493 100.787 -33.7692 0.000337692
264000 373.592 -17.0674 0.67534 1068.14 965.763 102.374 -2.01847 2.01847e-05
265000 372.866 3.1084 0.67534 1061.64 963.885 97.7497 -54.1177 0.000541177
266000 373.23 -17.6929 0.67534 1062.21 964.828 97.3811 -13.6832 0.000136832
267000 373.085 -11.2639 0.67534 1067.16 964.453 102.709 -8.19895 8.19895e-05
268000 373.233 21.7849 0.67534 1068.74 964.835 103.906 3.58257 -3.58257e-05
269000 373.259 -10.4452 0.67534 1063.29 964.901 98.3926 -8.94185 8.94185e-05
270000 372.887 2.82463 0.67534 1063.7 963.94 99.7592 14.449 -0.00014449
271000 373.326 16.1318 0.67534 1068.42 965.076 103.342 -21.6615 0.000216615
272000 373.021 -38.1225 0.67534 1068.07 964.288 103.78 -43.1671 0.000431671
273000 373.241 -15.5987 0.67534 1066.87 964.855 102.014 -42.4053 0.000424053
274000 373.009 -9.20876 0.67534 1067.14 964.255 102.882 -48.9524 0.000489524
275000 373.177 -53.4191 0.67534 1063.88 964.689 99.19 -26.1909 0.000261909
276000 373.452 -6.64596 0.67534 1066.58 965.401 101.182 -23.4022 0.000234022
277000 372.717 11.0077 0.67534 1060.65 963.501 97.1508 -60.1758 0.000601758
278000 373.373 -15.2643 0.67534 1066.08 965.198 100.88 -53.5621 0.000535621
279000 373.117 14.5443 0.67534 1068.53 964.534 103.994 -6.91182 6.91182e-05
280000 373.072 10.0485 0.67534 1062.65 964.418 98.2274 -26.9355 0.000269355
281000 373.199 4.14775 0.67534 1065.83 964.748 101.082 -41.4864 0.000414864
282000 373.403 11.2168 0.67534 1066.9 965.273 101.624 -23.3101 0.000233101
283000 372.851 32.1759 0.67534 1067.92 963.848 104.067 -36.7489 0.000367489
284000 373.333 -2.86826 0.67534 1069.42 965.094 104.322 -45.3502 0.000453502
