# Time-averaged data for fix thermo_ave
# TimeStep v_T v_p v_rho v_Etot v_Ekin v_Epot
5320 1.06308 0.474659 0.726 -3.40887 1.59431 -5.00318
5340 1.06108 0.494782 0.726 -3.40786 1.5913 -4.99916
5360 1.06859 0.479464 0.726 -3.40466 1.60257 -5.00723
5380 1.07719 0.4624 0.726 -3.39987 1.61546 -5.01533
5400 1.08077 0.466775 0.726 -3.39437 1.62083 -5.0152
5420 1.08257 0.475487 0.726 -3.38861 1.62354 -5.01215
5440 1.08895 0.460704 0.726 -3.38288 1.6331 -5.01598
5460 1.09509 0.442999 0.726 -3.3779 1.64231 -5.02021
5480 1.09547 0.445833 0.726 -3.37437 1.64288 -5.01725
5500 1.09481 0.45021 0.726 -3.37245 1.64189 -5.01433
5520 1.09198 0.461262 0.726 -3.3721 1.63764 -5.00974
5540 1.08765 0.47575 0.726 -3.37335 1.63115 -5.0045
5560 1.08503 0.478608 0.726 -3.37628 1.62722 -5.00351
5580 1.0901 0.444919 0.726 -3.38166 1.63482 -5.01648
5600 1.08168 0.460789 0.726 -3.39097 1.6222 -5.01317
5620 1.06328 0.510019 0.726 -3.40308 1.5946 -4.99768
5640 1.05408 0.515625 0.726 -3.41411 1.58081 -4.99492
5660 1.05596 0.474795 0.726 -3.42164 1.58362 -5.00526
5680 1.0646 0.409933 0.726 -3.42586 1.59659 -5.02244
5700 1.07102 0.361787 0.726 -3.42801 1.60621 -5.03422
5720 1.07122 0.348252 0.726 -3.42894 1.60652 -5.03545
5740 1.06877 0.353449 0.726 -3.42879 1.60284 -5.03163
5760 1.06962 0.351413 0.726 -3.42732 1.6041 -5.03143
5780 1.0723 0.349475 0.726 -3.42446 1.60813 -5.03259
5800 1.06994 0.377765 0.726 -3.42023 1.60459 -5.02482
5820 1.06972 0.40562 0.726 -3.41415 1.60426 -5.0184
5840 1.07669 0.409918 0.726 -3.40592 1.61471 -5.02063
5860 1.08148 0.42569 0.726 -3.39633 1.6219 -5.01823
5880 1.08378 0.448392 0.726 -3.38667 1.62535 -5.01202
5900 1.08978 0.44753 0.726 -3.37816 1.63434 -5.01249
5920 1.09591 0.437795 0.726 -3.37201 1.64354 -5.01555
5940 1.09273 0.461741 0.726 -3.36879 1.63877 -5.00755
5960 1.08375 0.505933 0.726 -3.36761 1.62531 -4.99291
5980 1.08363 0.507267 0.726 -3.36721 1.62512 -4.99233
6000 1.09351 0.461372 0.726 -3.36741 1.63994 -5.00735
6020 1.09488 0.450346 0.726 -3.36891 1.642 -5.01091
6040 1.08885 0.471739 0.726 -3.37152 1.63295 -5.00447
