# Created by MD - Bulk Evaluation, Folder: ./EMD_LJ
# t λ(t) ACF_λ
# ps W/(m*K) eV^2/(Å^4*ps)
1.565 9.51933788914417e7 2.5639893442920134e-5
1.57 9.519790026794471e7 2.3784805527529948e-5
1.575 9.520209699528354e7 2.2091043395914333e-5
1.58 9.520600694872724e7 2.0649982884054448e-5
1.585 9.520969204637924e7 1.9633068529201465e-5
1.59 9.521325215834215e7 1.9283721952789883e-5
1.595 9.52168364884638e7 1.9897805432259797e-5
1.6 9.522065019840704e7 2.179115052623015e-5
1.605 9.522495406010461e7 2.5255820383300966e-5
1.61 9.523005556495912e7 3.0510458217658208e-5
1.615 9.52362912636392e7 3.7654077497105435e-5
1.62 9.524400196716645e7 4.6634236124473545e-5
1.625 9.525350422671989e7 5.7238183622925394e-5
1.6300000000000001 9.52650625571596e7 6.910984383988747e-5
1.635 9.527886678413051e7 8.178883979999323e-5
1.6400000000000001 9.529501754569376e7 9.476060877212987e-5
1.645 9.531352073130578e7 0.00010750398437542662
1.6500000000000001 9.533428936882243e7 0.00011952503136625254
1.655 9.535715023521902e7 0.00013037484737129154
1.6600000000000001 9.538185279688343e7 0.00013965722654090705
1.665 9.540807944522843e7 0.0001470351554278918
1.67 9.54354573551299e7 0.00015224205680889282
1.675 9.54635727152485e7 0.00015509647369090854
1.68 9.549198733716631e7 0.0001555133889695767
1.685 9.55202563814292e7 0.0001535051150013075
1.69 9.55479450912611e7 0.00014916955661372735
1.695 9.55746425238641e7 0.00014266912764200528
1.7 9.559997109416777e7 0.00013420605887556303
1.705 9.562359184835021e7 0.0001240004107954593
1.71 9.56452062618928e7 0.0001122740693405954
1.715 9.566455560992792e7 9.924021204180628e-5
1.72 9.568141867185594e7 8.509563323533373e-5
1.725 9.569560809693305e7 7.00137814556087e-5
1.73 9.570696552906558e7 5.413815852194755e-5
1.735 9.57153558803933e7 3.757961555633133e-5
1.74 9.572066188860962e7 2.0422158604150557e-5
1.745 9.572278080686802e7 2.740455035267324e-6
1.75 9.5721625232971e7 -1.5372424956402523e-5
1.7550000000000001 9.571712926329592e7 -3.377454336739181e-5
1.76 9.570925956858796e7 -5.225175673251404e-5
1.7650000000000001 9.569802935613456e7 -7.050950181646936e-5
1.77 9.5683512268752e7 -8.818170059012647e-5
1.7750000000000001 9.566585336892575e7 -0.00010485371848201656
1.78 9.564527520390896e7 -0.00012009317780823759
1.7850000000000001 9.562207815109824e7 -0.00013348166856474961
1.79 9.559663541847642e7 -0.00014464146494503295
1.795 9.556938383119597e7 -0.0001532548719056084
1.8 9.554081151439309e7 -0.0001590788069877165
1.805 9.55114430152143e7 -0.00016195821130524896
1.81 9.548182184702797e7 -0.00016184081754391119
1.815 9.545249031745866e7 -0.00015879207341592858
1.82 9.54239669778553e7 -0.00015300621910850602
1.825 9.539672286774857e7 -0.00014480838222223158
1.83 9.53711586160158e7 -0.00013464311787800092
1.835 9.53475850350321e7 -0.00012304768557142788
1.84 9.53262097742045e7 -0.00011061253518013803
1.845 9.530713175576255e7 -9.793575045821174e-5
1.85 9.529034370875913e7 -8.558008125271303e-5
1.855 9.527574155354095e7 -7.404102649703835e-5
1.86 9.52631380660337e7 -6.373196710409261e-5
1.865 9.525227762762381e7 -5.49871660471101e-5
1.87 9.524284929848425e7 -4.80770952868105e-5
1.875 9.523449689798205e7 -4.322582545551721e-5
1.8800000000000001 9.522682669367997e7 -4.061977740942435e-5
1.885 9.521941478274696e7 -4.040233309261854e-5
1.8900000000000001 9.521181640299974e7 -4.2658131216657755e-5
1.895 9.520357813774638e7 -4.739713843642625e-5
1.9000000000000001 9.519425203589386e7 -5.45496417780232e-5
1.905 9.518340924933982e7 -6.397653295230094e-5
1.9100000000000001 9.517065079169129e7 -7.54904917868466e-5
1.915 9.515561456768689e7 -8.887556898416175e-5
1.92 9.513798016941586e7 -0.00010389201528414775
1.925 9.511747471840766e7 -0.0001202600195303676
1.93 9.509388317701162e7 -0.00013762711527332507
1.935 9.506706478599708e7 -0.00015553380637504518
1.94 9.503697425947107e7 -0.00017339593756153998
1.945 9.500368331429917e7 -0.0001905186673019891
1.95 9.496739627273954e7 -0.0002061472826352636
1.955 9.492845365386152e7 -0.00021954768300948272
1.96 9.488732001219352e7 -0.0002300980953540586
1.965 9.48445562052566e7 -0.00023736757206839227
1.97 9.48007804775044e7 -0.00024115974475038074
1.975 9.475662575095354e7 -0.0002415105363936148
1.98 9.471270116268674e7 -0.0002386440251659664
1.985 9.466956387146467e7 -0.00023290432556082215
1.99 9.462770336001012e7 -0.0002246871127930566
1.995 9.458753667090893e7 -0.00021438857933610414
2.0 9.45494109224444e7 -0.00020237689896202877
2.005 9.451360942776683e7 -0.00018898137344067396
2.0100000000000002 9.448035884903903e7 -0.00017449197214029836
2.015 9.44498359536141e7 -0.00015916414277529405
2.02 9.4422173239397e7 -0.00014322636196333665
2.025 9.43974631120917e7 -0.00012688841453219223
2.0300000000000002 9.437576076225115e7 -0.0001103473270811431
2.035 9.435708645043987e7 -9.378790454854832e-5
2.04 9.43414281074116e7 -7.737875012396734e-5
2.045 9.43287447221872e7 -6.126763250179384e-5
2.05 9.431897024877502e7 -4.558044919735006e-5
2.055 9.431201734936139e7 -3.0424050815474023e-5
2.06 9.4307780422543e7 -1.5891232242570777e-5
2.065 9.430613773897661e7 -2.065498573076391e-6
2.07 9.430695275588666e7 1.0974724647959855e-5
2.075 9.431007468584481e7 2.3152149831436654e-5
2.08 9.431533841252686e7 3.43874305472495e-5
2.085 9.432256404112516e7 4.459836461871209e-5
2.09 9.433155682359219e7 5.370478842347925e-5
2.095 9.434210865932834e7 6.164090430587976e-5
2.1 9.435400257676513e7 6.837553836111576e-5
2.105 9.436702120412925e7 7.393548971530725e-5
2.11 9.438095900404799e7 7.842332508914555e-5
2.115 9.43956364498943e7 8.202081003461977e-5
2.12 9.441091297530054e7 8.497206680395809e-5
2.125 9.442669507242237e7 8.754738580847414e-5
2.13 9.444293663639724e7 8.999465470045507e-5
2.1350000000000002 9.445963031046312e7 9.248955444575278e-5
2.14 9.447679066809008e7 9.509613087641528e-5
2.145 9.449443185618372e7 9.774567524435045e-5
2.15 9.451254344424611e7 0.00010023823236643744
2.1550000000000002 9.453106865076861e7 0.0001022670788185481
2.16 9.454988896222337e7 0.00010346412439961517
2.165 9.45688185303838e7 0.00010346140089798914
2.17 9.45876105402485e7 0.0001019604280447477
2.1750000000000003 9.460597590322569e7 9.879757917113157e-5
2.18 9.462361223226808e7 9.39911110128967e-5
2.185 9.4640238610396e7 8.775746342653683e-5
2.19 9.465562987884854e7 8.048970853988226e-5
2.195 9.466964373635133e7 7.270051749367811e-5
2.2 9.46822353380818e7 6.494254865161885e-5
2.205 9.469345707893221e7 5.7726103932207285e-5
2.21 9.470344487757742e7 5.145390818933577e-5
2.215 9.471239540087432e7 4.638729554216964e-5
2.22 9.472054040060003e7 4.2648457015922314e-5
2.225 9.472812430962558e7 4.025382292974769e-5
2.23 9.473538967252909e7 3.91663213954153e-5
2.235 9.474257252787626e7 3.935190486491826e-5
2.24 9.474990731240617e7 4.082711078471758e-5
2.245 9.475763874323232e7 4.368777996556605e-5
2.25 9.476603670044012e7 4.811313656540104e-5
2.255 9.477540951073265e7 5.434422943682506e-5
2.2600000000000002 9.478611131110024e7 6.264077750765582e-5
2.265 9.47985402675067e7 7.322435747924751e-5
2.27 9.481312616177255e7 8.621899628532572e-5
2.275 9.483030811362241e7 0.00010160274280910376
2.2800000000000002 9.48505056695994e7 0.00011918358706510489
2.285 9.487408839550196e7 0.00013860718258952787
2.29 9.490134974651454e7 0.00015939588492901554
2.295 9.493248990587871e7 0.00018100775131313113
2.3000000000000003 9.496760958797494e7 0.00020289739667737886
2.305 9.500671362238014e7 0.00022456205680707555
2.31 9.504972090435809e7 0.00024556511880761603
2.315 9.50964768155198e7 0.0002655395929281365
2.32 9.514676545818006e7 0.0002841826041540615
2.325 9.520032116292492e7 0.00030125295586919826
2.33 9.525684055389738e7 0.00031657966278054127
2.335 9.53159970468444e7 0.00033008001133619306
2.34 9.537745863043605e7 0.00034177738987480305
2.345 9.544090782998398e7 0.00035180731500983
2.35 9.550606115137784e7 0.00036040572334544523
2.355 9.557268491278224e7 0.00036788119313776275
2.36 9.564060522202837e7 0.0003745787272347156
2.365 9.570971155719261e7 0.0003808460444280294
2.37 9.577995532376176e7 0.0003870123754257921
2.375 9.585134597816747e7 0.0003933830640780103
2.38 9.592394711660363e7 0.00040024458663079647
2.3850000000000002 9.599787344976708e7 0.0004078692167884557
2.39 9.607328759984954e7 0.000416508417630144
2.395 9.615039407727315e7 0.0004263686205280507
2.4 9.622942735814969e7 0.00043757095922348745
2.4050000000000002 9.63106319550052e7 0.00045010401140808205
2.41 9.639423451313856e7 0.0004637838866846393
2.415 9.648041060552233e7 0.00047823618653963594
2.42 9.656925120662805e7 0.0004929105345966913
2.4250000000000003 9.66607350761331e7 0.000507130649288388
2.43 9.675471298042959e7 0.0005201736741939106
2.435 9.685090773237473e7 0.0005313637622883288
2.44 9.69489308880557e7 0.0005401605751223067
2.445 9.704831353378089e7 0.0005462248087279862
2.45 9.714854608221659e7 0.000549451149709663
2.455 9.724912105035828e7 0.0005499679145887908
2.46 9.734957316923235e7 0.0005481082427244109
2.465 9.744951238009097e7 0.0005443611432363941
2.47 9.754864679201123e7 0.0005393107127619152
2.475 9.764679419974598e7 0.000533571865961828
2.48 9.774388217600413e7 0.0005277297082205472
